"zemja1","zemja2","godina","vecher","poeni"
"Azerbaijan","Croatia",2009,"F",5
"Belarus","Croatia",2009,"F",0
"Belgium","Croatia",2009,"F",0
"Bosnia and Herzegovina","Croatia",2009,"F",12
"Bulgaria","Croatia",2009,"F",0
"Cyprus","Croatia",2009,"F",0
"Czech Republic","Croatia",2009,"F",0
"Denmark","Croatia",2009,"F",0
"Estonia","Croatia",2009,"F",0
"Finland","Croatia",2009,"F",0
"France","Croatia",2009,"F",0
"Germany","Croatia",2009,"F",0
"Greece","Croatia",2009,"F",2
"Hungary","Croatia",2009,"F",0
"Iceland","Croatia",2009,"F",1
"Ireland","Croatia",2009,"F",0
"Israel","Croatia",2009,"F",0
"Latvia","Croatia",2009,"F",0
"Lithuania","Croatia",2009,"F",0
"Macedonia","Croatia",2009,"F",4
"Malta","Croatia",2009,"F",0
"Moldova","Croatia",2009,"F",2
"Montenegro","Croatia",2009,"F",8
"Netherlands","Croatia",2009,"F",0
"Norway","Croatia",2009,"F",0
"Poland","Croatia",2009,"F",0
"Portugal","Croatia",2009,"F",0
"Romania","Croatia",2009,"F",0
"Russia","Croatia",2009,"F",0
"Serbia","Croatia",2009,"F",5
"Slovakia","Croatia",2009,"F",0
"Slovenia","Croatia",2009,"F",6
"Spain","Croatia",2009,"F",0
"Sweden","Croatia",2009,"F",0
"Switzerland","Croatia",2009,"F",0
"Turkey","Croatia",2009,"F",0
"Ukraine","Croatia",2009,"F",0
"United Kingdom","Croatia",2009,"F",0
"Albania","Portugal",2009,"F",0
"Andorra","Portugal",2009,"F",6
"Armenia","Portugal",2009,"F",0
"Azerbaijan","Portugal",2009,"F",0
"Belarus","Portugal",2009,"F",0
"Belgium","Portugal",2009,"F",6
"Bosnia and Herzegovina","Portugal",2009,"F",1
"Bulgaria","Portugal",2009,"F",0
"Croatia","Portugal",2009,"F",0
"Cyprus","Portugal",2009,"F",0
"Czech Republic","Portugal",2009,"F",7
"Denmark","Portugal",2009,"F",0
"Estonia","Portugal",2009,"F",3
"Finland","Portugal",2009,"F",0
"France","Portugal",2009,"F",7
"Germany","Portugal",2009,"F",0
"Greece","Portugal",2009,"F",0
"Hungary","Portugal",2009,"F",0
"Iceland","Portugal",2009,"F",7
"Ireland","Portugal",2009,"F",0
"Israel","Portugal",2009,"F",0
"Latvia","Portugal",2009,"F",0
"Lithuania","Portugal",2009,"F",0
"Macedonia","Portugal",2009,"F",0
"Malta","Portugal",2009,"F",0
"Moldova","Portugal",2009,"F",0
"Montenegro","Portugal",2009,"F",0
"Netherlands","Portugal",2009,"F",0
"Norway","Portugal",2009,"F",0
"Poland","Portugal",2009,"F",0
"Romania","Portugal",2009,"F",0
"Russia","Portugal",2009,"F",0
"Serbia","Portugal",2009,"F",0
"Slovakia","Portugal",2009,"F",2
"Slovenia","Portugal",2009,"F",0
"Spain","Portugal",2009,"F",8
"Sweden","Portugal",2009,"F",0
"Switzerland","Portugal",2009,"F",10
"Turkey","Portugal",2009,"F",0
"Ukraine","Portugal",2009,"F",0
"United Kingdom","Portugal",2009,"F",0
"Albania","Iceland",2009,"F",6
"Andorra","Iceland",2009,"F",8
"Armenia","Iceland",2009,"F",5
"Azerbaijan","Iceland",2009,"F",0
"Belarus","Iceland",2009,"F",2
"Belgium","Iceland",2009,"F",0
"Bosnia and Herzegovina","Iceland",2009,"F",0
"Bulgaria","Iceland",2009,"F",5
"Croatia","Iceland",2009,"F",2
"Cyprus","Iceland",2009,"F",5
"Czech Republic","Iceland",2009,"F",2
"Denmark","Iceland",2009,"F",10
"Estonia","Iceland",2009,"F",8
"Finland","Iceland",2009,"F",10
"France","Iceland",2009,"F",0
"Germany","Iceland",2009,"F",7
"Greece","Iceland",2009,"F",4
"Hungary","Iceland",2009,"F",7
"Ireland","Iceland",2009,"F",12
"Israel","Iceland",2009,"F",10
"Latvia","Iceland",2009,"F",8
"Lithuania","Iceland",2009,"F",8
"Macedonia","Iceland",2009,"F",2
"Malta","Iceland",2009,"F",12
"Moldova","Iceland",2009,"F",3
"Montenegro","Iceland",2009,"F",5
"Netherlands","Iceland",2009,"F",7
"Norway","Iceland",2009,"F",12
"Poland","Iceland",2009,"F",1
"Portugal","Iceland",2009,"F",8
"Romania","Iceland",2009,"F",10
"Russia","Iceland",2009,"F",3
"Serbia","Iceland",2009,"F",0
"Slovakia","Iceland",2009,"F",6
"Slovenia","Iceland",2009,"F",5
"Spain","Iceland",2009,"F",0
"Sweden","Iceland",2009,"F",10
"Switzerland","Iceland",2009,"F",5
"Turkey","Iceland",2009,"F",2
"Ukraine","Iceland",2009,"F",0
"United Kingdom","Iceland",2009,"F",8
"Albania","Greece",2009,"F",12
"Andorra","Greece",2009,"F",0
"Armenia","Greece",2009,"F",10
"Azerbaijan","Greece",2009,"F",0
"Belarus","Greece",2009,"F",5
"Belgium","Greece",2009,"F",5
"Bosnia and Herzegovina","Greece",2009,"F",5
"Bulgaria","Greece",2009,"F",12
"Croatia","Greece",2009,"F",7
"Cyprus","Greece",2009,"F",12
"Czech Republic","Greece",2009,"F",0
"Denmark","Greece",2009,"F",0
"Estonia","Greece",2009,"F",0
"Finland","Greece",2009,"F",0
"France","Greece",2009,"F",0
"Germany","Greece",2009,"F",6
"Hungary","Greece",2009,"F",4
"Iceland","Greece",2009,"F",0
"Ireland","Greece",2009,"F",0
"Israel","Greece",2009,"F",0
"Latvia","Greece",2009,"F",0
"Lithuania","Greece",2009,"F",0
"Macedonia","Greece",2009,"F",0
"Malta","Greece",2009,"F",7
"Moldova","Greece",2009,"F",0
"Montenegro","Greece",2009,"F",2
"Netherlands","Greece",2009,"F",1
"Norway","Greece",2009,"F",0
"Poland","Greece",2009,"F",0
"Portugal","Greece",2009,"F",0
"Romania","Greece",2009,"F",8
"Russia","Greece",2009,"F",4
"Serbia","Greece",2009,"F",6
"Slovakia","Greece",2009,"F",0
"Slovenia","Greece",2009,"F",4
"Spain","Greece",2009,"F",1
"Sweden","Greece",2009,"F",2
"Switzerland","Greece",2009,"F",2
"Turkey","Greece",2009,"F",0
"Ukraine","Greece",2009,"F",0
"United Kingdom","Greece",2009,"F",5
"Albania","Armenia",2009,"F",0
"Andorra","Armenia",2009,"F",0
"Azerbaijan","Armenia",2009,"F",0
"Belarus","Armenia",2009,"F",1
"Belgium","Armenia",2009,"F",7
"Bosnia and Herzegovina","Armenia",2009,"F",0
"Bulgaria","Armenia",2009,"F",6
"Croatia","Armenia",2009,"F",0
"Cyprus","Armenia",2009,"F",4
"Czech Republic","Armenia",2009,"F",12
"Denmark","Armenia",2009,"F",0
"Estonia","Armenia",2009,"F",0
"Finland","Armenia",2009,"F",1
"France","Armenia",2009,"F",6
"Germany","Armenia",2009,"F",0
"Greece","Armenia",2009,"F",0
"Hungary","Armenia",2009,"F",0
"Iceland","Armenia",2009,"F",5
"Ireland","Armenia",2009,"F",0
"Israel","Armenia",2009,"F",8
"Latvia","Armenia",2009,"F",0
"Lithuania","Armenia",2009,"F",0
"Macedonia","Armenia",2009,"F",1
"Malta","Armenia",2009,"F",0
"Moldova","Armenia",2009,"F",0
"Montenegro","Armenia",2009,"F",0
"Netherlands","Armenia",2009,"F",5
"Norway","Armenia",2009,"F",0
"Poland","Armenia",2009,"F",2
"Portugal","Armenia",2009,"F",4
"Romania","Armenia",2009,"F",7
"Russia","Armenia",2009,"F",5
"Serbia","Armenia",2009,"F",0
"Slovakia","Armenia",2009,"F",3
"Slovenia","Armenia",2009,"F",0
"Spain","Armenia",2009,"F",4
"Sweden","Armenia",2009,"F",3
"Switzerland","Armenia",2009,"F",0
"Turkey","Armenia",2009,"F",6
"Ukraine","Armenia",2009,"F",2
"United Kingdom","Armenia",2009,"F",0
"Albania","Russia",2009,"F",0
"Andorra","Russia",2009,"F",0
"Armenia","Russia",2009,"F",12
"Azerbaijan","Russia",2009,"F",6
"Belarus","Russia",2009,"F",8
"Belgium","Russia",2009,"F",0
"Bosnia and Herzegovina","Russia",2009,"F",0
"Bulgaria","Russia",2009,"F",0
"Croatia","Russia",2009,"F",0
"Cyprus","Russia",2009,"F",1
"Czech Republic","Russia",2009,"F",8
"Denmark","Russia",2009,"F",0
"Estonia","Russia",2009,"F",10
"Finland","Russia",2009,"F",0
"France","Russia",2009,"F",0
"Germany","Russia",2009,"F",5
"Greece","Russia",2009,"F",0
"Hungary","Russia",2009,"F",0
"Iceland","Russia",2009,"F",0
"Ireland","Russia",2009,"F",0
"Israel","Russia",2009,"F",7
"Latvia","Russia",2009,"F",6
"Lithuania","Russia",2009,"F",7
"Macedonia","Russia",2009,"F",0
"Malta","Russia",2009,"F",0
"Moldova","Russia",2009,"F",6
"Montenegro","Russia",2009,"F",0
"Netherlands","Russia",2009,"F",0
"Norway","Russia",2009,"F",0
"Poland","Russia",2009,"F",3
"Portugal","Russia",2009,"F",0
"Romania","Russia",2009,"F",0
"Serbia","Russia",2009,"F",0
"Slovakia","Russia",2009,"F",0
"Slovenia","Russia",2009,"F",0
"Spain","Russia",2009,"F",0
"Sweden","Russia",2009,"F",0
"Switzerland","Russia",2009,"F",0
"Turkey","Russia",2009,"F",4
"Ukraine","Russia",2009,"F",8
"United Kingdom","Russia",2009,"F",0
"Albania","Azerbaijan",2009,"F",4
"Andorra","Azerbaijan",2009,"F",0
"Armenia","Azerbaijan",2009,"F",1
"Belarus","Azerbaijan",2009,"F",10
"Belgium","Azerbaijan",2009,"F",3
"Bosnia and Herzegovina","Azerbaijan",2009,"F",3
"Bulgaria","Azerbaijan",2009,"F",8
"Croatia","Azerbaijan",2009,"F",10
"Cyprus","Azerbaijan",2009,"F",8
"Czech Republic","Azerbaijan",2009,"F",10
"Denmark","Azerbaijan",2009,"F",8
"Estonia","Azerbaijan",2009,"F",7
"Finland","Azerbaijan",2009,"F",2
"France","Azerbaijan",2009,"F",1
"Germany","Azerbaijan",2009,"F",0
"Greece","Azerbaijan",2009,"F",8
"Hungary","Azerbaijan",2009,"F",10
"Iceland","Azerbaijan",2009,"F",0
"Ireland","Azerbaijan",2009,"F",0
"Israel","Azerbaijan",2009,"F",6
"Latvia","Azerbaijan",2009,"F",4
"Lithuania","Azerbaijan",2009,"F",5
"Macedonia","Azerbaijan",2009,"F",3
"Malta","Azerbaijan",2009,"F",1
"Moldova","Azerbaijan",2009,"F",10
"Montenegro","Azerbaijan",2009,"F",6
"Netherlands","Azerbaijan",2009,"F",10
"Norway","Azerbaijan",2009,"F",10
"Poland","Azerbaijan",2009,"F",6
"Portugal","Azerbaijan",2009,"F",0
"Romania","Azerbaijan",2009,"F",4
"Russia","Azerbaijan",2009,"F",7
"Serbia","Azerbaijan",2009,"F",4
"Slovakia","Azerbaijan",2009,"F",4
"Slovenia","Azerbaijan",2009,"F",1
"Spain","Azerbaijan",2009,"F",0
"Sweden","Azerbaijan",2009,"F",8
"Switzerland","Azerbaijan",2009,"F",0
"Turkey","Azerbaijan",2009,"F",12
"Ukraine","Azerbaijan",2009,"F",10
"United Kingdom","Azerbaijan",2009,"F",3
"Albania","Bosnia and Herzegovina",2009,"F",5
"Andorra","Bosnia and Herzegovina",2009,"F",0
"Armenia","Bosnia and Herzegovina",2009,"F",0
"Azerbaijan","Bosnia and Herzegovina",2009,"F",2
"Belarus","Bosnia and Herzegovina",2009,"F",0
"Belgium","Bosnia and Herzegovina",2009,"F",0
"Bulgaria","Bosnia and Herzegovina",2009,"F",4
"Croatia","Bosnia and Herzegovina",2009,"F",12
"Cyprus","Bosnia and Herzegovina",2009,"F",0
"Czech Republic","Bosnia and Herzegovina",2009,"F",0
"Denmark","Bosnia and Herzegovina",2009,"F",0
"Estonia","Bosnia and Herzegovina",2009,"F",0
"Finland","Bosnia and Herzegovina",2009,"F",6
"France","Bosnia and Herzegovina",2009,"F",0
"Germany","Bosnia and Herzegovina",2009,"F",2
"Greece","Bosnia and Herzegovina",2009,"F",0
"Hungary","Bosnia and Herzegovina",2009,"F",0
"Iceland","Bosnia and Herzegovina",2009,"F",2
"Ireland","Bosnia and Herzegovina",2009,"F",0
"Israel","Bosnia and Herzegovina",2009,"F",0
"Latvia","Bosnia and Herzegovina",2009,"F",0
"Lithuania","Bosnia and Herzegovina",2009,"F",0
"Macedonia","Bosnia and Herzegovina",2009,"F",10
"Malta","Bosnia and Herzegovina",2009,"F",0
"Moldova","Bosnia and Herzegovina",2009,"F",0
"Montenegro","Bosnia and Herzegovina",2009,"F",12
"Netherlands","Bosnia and Herzegovina",2009,"F",4
"Norway","Bosnia and Herzegovina",2009,"F",0
"Poland","Bosnia and Herzegovina",2009,"F",0
"Portugal","Bosnia and Herzegovina",2009,"F",0
"Romania","Bosnia and Herzegovina",2009,"F",0
"Russia","Bosnia and Herzegovina",2009,"F",0
"Serbia","Bosnia and Herzegovina",2009,"F",12
"Slovakia","Bosnia and Herzegovina",2009,"F",8
"Slovenia","Bosnia and Herzegovina",2009,"F",10
"Spain","Bosnia and Herzegovina",2009,"F",0
"Sweden","Bosnia and Herzegovina",2009,"F",5
"Switzerland","Bosnia and Herzegovina",2009,"F",4
"Turkey","Bosnia and Herzegovina",2009,"F",8
"Ukraine","Bosnia and Herzegovina",2009,"F",0
"United Kingdom","Bosnia and Herzegovina",2009,"F",0
"Albania","Moldova",2009,"F",0
"Andorra","Moldova",2009,"F",0
"Armenia","Moldova",2009,"F",2
"Azerbaijan","Moldova",2009,"F",7
"Belarus","Moldova",2009,"F",0
"Belgium","Moldova",2009,"F",4
"Bosnia and Herzegovina","Moldova",2009,"F",0
"Bulgaria","Moldova",2009,"F",0
"Croatia","Moldova",2009,"F",3
"Cyprus","Moldova",2009,"F",0
"Czech Republic","Moldova",2009,"F",0
"Denmark","Moldova",2009,"F",0
"Estonia","Moldova",2009,"F",0
"Finland","Moldova",2009,"F",0
"France","Moldova",2009,"F",0
"Germany","Moldova",2009,"F",0
"Greece","Moldova",2009,"F",0
"Hungary","Moldova",2009,"F",0
"Iceland","Moldova",2009,"F",0
"Ireland","Moldova",2009,"F",0
"Israel","Moldova",2009,"F",1
"Latvia","Moldova",2009,"F",0
"Lithuania","Moldova",2009,"F",0
"Macedonia","Moldova",2009,"F",0
"Malta","Moldova",2009,"F",0
"Montenegro","Moldova",2009,"F",0
"Netherlands","Moldova",2009,"F",0
"Norway","Moldova",2009,"F",3
"Poland","Moldova",2009,"F",5
"Portugal","Moldova",2009,"F",12
"Romania","Moldova",2009,"F",12
"Russia","Moldova",2009,"F",1
"Serbia","Moldova",2009,"F",0
"Slovakia","Moldova",2009,"F",0
"Slovenia","Moldova",2009,"F",0
"Spain","Moldova",2009,"F",5
"Sweden","Moldova",2009,"F",0
"Switzerland","Moldova",2009,"F",0
"Turkey","Moldova",2009,"F",7
"Ukraine","Moldova",2009,"F",7
"United Kingdom","Moldova",2009,"F",0
"Albania","Malta",2009,"F",0
"Andorra","Malta",2009,"F",1
"Armenia","Malta",2009,"F",0
"Azerbaijan","Malta",2009,"F",0
"Belarus","Malta",2009,"F",0
"Belgium","Malta",2009,"F",0
"Bosnia and Herzegovina","Malta",2009,"F",0
"Bulgaria","Malta",2009,"F",0
"Croatia","Malta",2009,"F",0
"Cyprus","Malta",2009,"F",0
"Czech Republic","Malta",2009,"F",0
"Denmark","Malta",2009,"F",0
"Estonia","Malta",2009,"F",0
"Finland","Malta",2009,"F",3
"France","Malta",2009,"F",0
"Germany","Malta",2009,"F",4
"Greece","Malta",2009,"F",0
"Hungary","Malta",2009,"F",0
"Iceland","Malta",2009,"F",0
"Ireland","Malta",2009,"F",5
"Israel","Malta",2009,"F",0
"Latvia","Malta",2009,"F",1
"Lithuania","Malta",2009,"F",1
"Macedonia","Malta",2009,"F",0
"Moldova","Malta",2009,"F",0
"Montenegro","Malta",2009,"F",0
"Netherlands","Malta",2009,"F",0
"Norway","Malta",2009,"F",0
"Poland","Malta",2009,"F",0
"Portugal","Malta",2009,"F",0
"Romania","Malta",2009,"F",3
"Russia","Malta",2009,"F",0
"Serbia","Malta",2009,"F",7
"Slovakia","Malta",2009,"F",0
"Slovenia","Malta",2009,"F",0
"Spain","Malta",2009,"F",0
"Sweden","Malta",2009,"F",0
"Switzerland","Malta",2009,"F",0
"Turkey","Malta",2009,"F",0
"Ukraine","Malta",2009,"F",0
"United Kingdom","Malta",2009,"F",6
"Albania","Estonia",2009,"F",0
"Andorra","Estonia",2009,"F",0
"Armenia","Estonia",2009,"F",0
"Azerbaijan","Estonia",2009,"F",4
"Belarus","Estonia",2009,"F",4
"Belgium","Estonia",2009,"F",0
"Bosnia and Herzegovina","Estonia",2009,"F",0
"Bulgaria","Estonia",2009,"F",0
"Croatia","Estonia",2009,"F",6
"Cyprus","Estonia",2009,"F",3
"Czech Republic","Estonia",2009,"F",0
"Denmark","Estonia",2009,"F",5
"Finland","Estonia",2009,"F",12
"France","Estonia",2009,"F",0
"Germany","Estonia",2009,"F",1
"Greece","Estonia",2009,"F",5
"Hungary","Estonia",2009,"F",6
"Iceland","Estonia",2009,"F",10
"Ireland","Estonia",2009,"F",6
"Israel","Estonia",2009,"F",0
"Latvia","Estonia",2009,"F",10
"Lithuania","Estonia",2009,"F",10
"Macedonia","Estonia",2009,"F",0
"Malta","Estonia",2009,"F",0
"Moldova","Estonia",2009,"F",7
"Montenegro","Estonia",2009,"F",0
"Netherlands","Estonia",2009,"F",0
"Norway","Estonia",2009,"F",0
"Poland","Estonia",2009,"F",8
"Portugal","Estonia",2009,"F",0
"Romania","Estonia",2009,"F",1
"Russia","Estonia",2009,"F",8
"Serbia","Estonia",2009,"F",0
"Slovakia","Estonia",2009,"F",12
"Slovenia","Estonia",2009,"F",0
"Spain","Estonia",2009,"F",0
"Sweden","Estonia",2009,"F",7
"Switzerland","Estonia",2009,"F",0
"Turkey","Estonia",2009,"F",0
"Ukraine","Estonia",2009,"F",4
"United Kingdom","Estonia",2009,"F",0
"Albania","Denmark",2009,"F",0
"Andorra","Denmark",2009,"F",5
"Armenia","Denmark",2009,"F",0
"Azerbaijan","Denmark",2009,"F",0
"Belarus","Denmark",2009,"F",0
"Belgium","Denmark",2009,"F",0
"Bosnia and Herzegovina","Denmark",2009,"F",0
"Bulgaria","Denmark",2009,"F",0
"Croatia","Denmark",2009,"F",0
"Cyprus","Denmark",2009,"F",6
"Czech Republic","Denmark",2009,"F",0
"Estonia","Denmark",2009,"F",0
"Finland","Denmark",2009,"F",0
"France","Denmark",2009,"F",5
"Germany","Denmark",2009,"F",0
"Greece","Denmark",2009,"F",0
"Hungary","Denmark",2009,"F",3
"Iceland","Denmark",2009,"F",4
"Ireland","Denmark",2009,"F",4
"Israel","Denmark",2009,"F",0
"Latvia","Denmark",2009,"F",3
"Lithuania","Denmark",2009,"F",2
"Macedonia","Denmark",2009,"F",0
"Malta","Denmark",2009,"F",6
"Moldova","Denmark",2009,"F",5
"Montenegro","Denmark",2009,"F",0
"Netherlands","Denmark",2009,"F",0
"Norway","Denmark",2009,"F",8
"Poland","Denmark",2009,"F",7
"Portugal","Denmark",2009,"F",0
"Romania","Denmark",2009,"F",2
"Russia","Denmark",2009,"F",0
"Serbia","Denmark",2009,"F",1
"Slovakia","Denmark",2009,"F",0
"Slovenia","Denmark",2009,"F",8
"Spain","Denmark",2009,"F",0
"Sweden","Denmark",2009,"F",0
"Switzerland","Denmark",2009,"F",0
"Turkey","Denmark",2009,"F",0
"Ukraine","Denmark",2009,"F",5
"United Kingdom","Denmark",2009,"F",0
"Albania","Germany",2009,"F",3
"Andorra","Germany",2009,"F",0
"Armenia","Germany",2009,"F",0
"Azerbaijan","Germany",2009,"F",0
"Belarus","Germany",2009,"F",0
"Belgium","Germany",2009,"F",2
"Bosnia and Herzegovina","Germany",2009,"F",2
"Bulgaria","Germany",2009,"F",0
"Croatia","Germany",2009,"F",0
"Cyprus","Germany",2009,"F",0
"Czech Republic","Germany",2009,"F",0
"Denmark","Germany",2009,"F",7
"Estonia","Germany",2009,"F",0
"Finland","Germany",2009,"F",0
"France","Germany",2009,"F",3
"Greece","Germany",2009,"F",0
"Hungary","Germany",2009,"F",0
"Iceland","Germany",2009,"F",0
"Ireland","Germany",2009,"F",1
"Israel","Germany",2009,"F",0
"Latvia","Germany",2009,"F",0
"Lithuania","Germany",2009,"F",0
"Macedonia","Germany",2009,"F",0
"Malta","Germany",2009,"F",0
"Moldova","Germany",2009,"F",0
"Montenegro","Germany",2009,"F",0
"Netherlands","Germany",2009,"F",2
"Norway","Germany",2009,"F",6
"Poland","Germany",2009,"F",0
"Portugal","Germany",2009,"F",1
"Romania","Germany",2009,"F",0
"Russia","Germany",2009,"F",0
"Serbia","Germany",2009,"F",0
"Slovakia","Germany",2009,"F",0
"Slovenia","Germany",2009,"F",0
"Spain","Germany",2009,"F",0
"Sweden","Germany",2009,"F",0
"Switzerland","Germany",2009,"F",0
"Turkey","Germany",2009,"F",1
"Ukraine","Germany",2009,"F",0
"United Kingdom","Germany",2009,"F",7
"Albania","Turkey",2009,"F",10
"Andorra","Turkey",2009,"F",0
"Armenia","Turkey",2009,"F",4
"Azerbaijan","Turkey",2009,"F",12
"Belarus","Turkey",2009,"F",0
"Belgium","Turkey",2009,"F",12
"Bosnia and Herzegovina","Turkey",2009,"F",7
"Bulgaria","Turkey",2009,"F",10
"Croatia","Turkey",2009,"F",1
"Cyprus","Turkey",2009,"F",0
"Czech Republic","Turkey",2009,"F",1
"Denmark","Turkey",2009,"F",6
"Estonia","Turkey",2009,"F",0
"Finland","Turkey",2009,"F",5
"France","Turkey",2009,"F",12
"Germany","Turkey",2009,"F",10
"Greece","Turkey",2009,"F",3
